Judul;label
 ANALISIS POLA PEMBELIAN KONSUMEN PADA TRANSAKSI PENJUALAN MENGGUNAKAN ALGORITMA APRIORI ;Artificial Intelligance dan Robotik
 PENERAPAN DATA MINING UNTUK ANALISIS POLA PEMBELIAN PRODUK MENGGUNAKAN ALGORITMA APRIORI PADA DATA TRANSAKSI PENJUALAN (Studi Kasus : Koperasi Guru Banjar (KGB)) ;Artificial Intelligance dan Robotik
Aplikasi Deteksi Wajah pada Foto Dijital  dalam Sistem Pengenalan Wajah ;Grafik
Analisis Perbandingan Kompleksitas Algoritma Pengurutan Nilai (Sorting);Database dan Sistim Retrieval Informasi
ANALISIS DAN PERANCANGAN TEKNOLOGI PADA ROBOT SEPAK BOLA ;Artificial Intelligance dan Robotik
"Algoritma Bayesian Network Untuk Simulasi
Prediksi Pemenang PILKADA Menggunakan
MSBNx";Artificial Intelligance dan Robotik
ALGORITMA FP-GROWTH DALAM TEKNIK MARKET BASKET ANALYSIS SPAREPART KOMPUTER PADA JASA SERVIS KOMPUTER (STUDI KASUS : CV. KARYA COMPUTER CENTER);Artificial Intelligance dan Robotik
"Aplikasi Pencarian Bahan Pustaka Di Perpustakaan
Menggunakan Metode Vector Space Model";Database dan Sistim Retrieval Informasi
Algoritma Kohonen dalam Mengubah Citra Graylevel Menjadi Citra Biner;Grafik
"ALGORITMA ROUTING DI LINGKUNGAN JARINGAN GRID MENGGUNAKAN
TEORI GRAF";Algoritma dan Struktur Data
Analisa Data Mining Menggunakan Market Basket Analysis untuk Mengetahui Pola Beli Konsumen ;Artificial Intelligance dan Robotik
ANALISA DESAIN PARALELISASI NEEDLEMEN;Algoritma dan Struktur Data
ANALISA KEBUTUHAN WAKTU PADA PROSES PENYELESAIAN TRAVELING SALESMAN PROBLEM;Database dan Sistim Retrieval Informasi
"ANALISA KLASIFIKASI JENIS POHON MANGGA
BERDASARKAN TEKSTUR DAUN";Grafik
"Presensi Kelas Berbasis Pola Wajah, Senyum dan Wi-Fi Terdekat dengan
Deep Learning";Grafik
Pengolahan Citra Digital Untuk Menghitung Ekstrasi Ciri Greenbean Kopi Robusta Dan Arabika (Studi Kasus: Kopi Temanggung);Grafik
ANALISA OPTIMALISASI BAHASA SQL BERDASARKAN RELATIONAL ALGEBRA PADA KASUS REKAPITULASI MAHASISWA LAYAK WISUDA;Database dan Sistim Retrieval Informasi
ANALISA OPTIMASI BAHASA SQL DENGAN INDEXING PADA KASUS MAHASISWA LAYAK MENERIMA BEASISWA PADA PERGURUAN TINGGI;Database dan Sistim Retrieval Informasi
ANALISA PERANCANGAN APLIKASI PENYANDIAN PESAN PADA EMAIL MENGGUNAKAN ALGORITMA KRIPTOGRAFI BLOWFISH;Algoritma dan Struktur Data
Analisa Performansi Virtualisasi Web Server pada Cloud Computing;Algoritma dan Struktur Data
Analisa Pola Penjualan Obat Menggunakan Algoritma Apriori Pada Apotek Zam-Zam Bogor ;Artificial Intelligance dan Robotik
PENERAPAN ALGORITMA APRIORI UNTUK REKOMENDASI BUKU PADA AMIKOM RESOURCE CENTER;Artificial Intelligance dan Robotik
"ANALISA QUALITY OF SERVICES (QoS) VOICE OVER INTERNET
PROTOCOL (VoIP) DENGAN PROTOKOL H.323 DAN SESSION
INITIAL PROTOCOL (SIP)";Sistim Operasi dan Jaringan
ANALISIS ALGORITMA FP-GROWTH UNTUK REKOMENDASI PRODUK PADA DATA RETAIL PENJUALAN PRODUK KOSMETIK (STUDI KASUS : MT SHOP KELAPA GADING) ;Artificial Intelligance dan Robotik
"Analisa Transaksi Penjualan Obat menggunakan
Algoritma Apriori";Artificial Intelligance dan Robotik
Analisis Algoritma Insertion Sort, Merge Sort Dan Implementasinya Dalam Bahasa Pemrograman C++;Database dan Sistim Retrieval Informasi
Analisis Asosiasi pada Transaksi Obat Menggunakan Data Mining dengan  Algoritma A Priori.;Artificial Intelligance dan Robotik
ANALISIS DAN IMPLEMENTASI CITRA WATERMARKING DENGAN METODE DISCRETE WAVELET TRANSFORM (DWT) ? LIFTING WAVELET TRANSFORM (LWT) DAN SINGULAR VALUE DECOMPOSISITION (SVD);Grafik
"ANALISIS DAN PERANCANGAN BASIS DATA TERDISTRIBUSI DATA
ATRIBUT POLRI DAN PNS PADA POLDA SUMSEL
";Database dan Sistim Retrieval Informasi
Analisis dan Perancangan Sistem Informasi Manajemen Penjadwalan Praktikum MenggunakanAlgoritma Genetika di LaboratoriumFakultas Teknologi PertanianUniversitas Jambi;Database dan Sistim Retrieval Informasi
"Analisis Dan Perancangan Sistem Informasi Pengolahan Data Residen Menggunakan Basis Data Terdistribusi
Mardiah Nasution";Database dan Sistim Retrieval Informasi
Segmentasi Citra Menggunakan Metode Watershed Transform Berdasarkan Image Enhancement Dalam Mendeteksi Embrio Telur;Grafik
ANALISIS DETEKSI TEPI UNTUK MENGIDENTIFIKASI POLA DAUN;Grafik
Analisis Implementasi Low Cost Cluster- High Performance Computing;Algoritma dan Struktur Data
ANALISIS INTENSITAS METODE PENDETEKSIAN TEPI SOBEL  ;Grafik
Komputasi Paralel Menggunakan Nvidia Cuda Untuk Pemodelan 2d Tsunami Aceh Dengan Metode Lattice Boltzmann;Algoritma dan Struktur Data
Analisa Performansi Metode Transisi IPv6 Tunneling 6to4 Pada Jaringan MPLS;Sistim Operasi dan Jaringan
ANALISA PERFORMANSI QOS LAYANAN VIDEO STREAMING PADA JARINGAN MPLS-DIFFSERV DAN MPLS-INTSERV;Sistim Operasi dan Jaringan
ANALISIS QUALITY OF SERVICE ROUTING MPLS OSPF TERHADAP GANGGUAN LINK FAILURE;Sistim Operasi dan Jaringan
"SEGEMENTASI K-MEANS CLUSTERING PADA
CITRA MENGGUNAKAN EKSTRAKSI FITUR
WARNA DAN TEKSTUR";Grafik
"Analisis Probabilitas Gempa Dengan Metode Gaussian dan Besarnya Nilai PGA yang
Berpengaruh di Wilayah Yogyakarta";Algoritma dan Struktur Data
"Analisis Kinerja Protokol Ad Hoc On-Demand Distance Vector (AODV)
dan Fisheye State Routing (FSR) pada Mobile Ad Hoc Network";Sistim Operasi dan Jaringan
ANALISIS KINERJA TEKNOLOGI VIRTUALISASI SERVER (STUDY KASUS : UNIVERSITAS ASAHAN);Sistim Operasi dan Jaringan
"ANALISIS KINERJA VIRTUALISAS SERVER MENGGUNAKAN PROXMOX VE
PADA DISHUB KOMINFO SUMATERA SELATAN";Sistim Operasi dan Jaringan
ANALISIS KOMBINASI METODE CAESAR CIPHER, VERNAM CIPHER, DAN HILL CIPHER DALAM PROSES KRIPTOGRAFI;Algoritma dan Struktur Data
PEMILIHAN KEGIATAN ORGANISASI MAHASISWA MENGGUNAKAN ALGORITMA PROBABILITAS BAYES;Algoritma dan Struktur Data
PENGEMBANGAN JARINGAN LAN DAN WAN DI PUSKESMAS PEMBINA PALEMBANG DENGAN METODE RESEARCH AND DEVELOPMENT;Sistim Operasi dan Jaringan
ANALISIS LIVE FORENSICS UNTUK PERBANDINGAN APLIKASI INSTANT MESSENGER PADA SISTEM OPERASI WINDOWS 10;Sistim Operasi dan Jaringan
ANALISIS LIVE FORENSICS UNTUK PERBANDINGAN KEMANANAN EMAIL PADA SISTEM OPERASI PROPRIETARY;Sistim Operasi dan Jaringan
Performansi Implementasi Paralel OpenMP pada Persamaan Air Dangkal 2D untuk Simulasi Gelombang Runup;Algoritma dan Struktur Data
ANALISIS DAN PENGEMBANGAN JARINGAN WAN PADA GEDUNG BAGIAN LALIN DI DISHUB PEMPROV SUMSEL;Sistim Operasi dan Jaringan
Analisis OverheadServerCloud Infrastructurepada Proxmox VE Hypervisor;Sistim Operasi dan Jaringan
Implementasi Komputasi Paralel GPU pada Algoritme Cellular Automata Menggunakan CUDA;Algoritma dan Struktur Data
"ANALISIS PERBANDINGAN ALGORITMA KRIPTOGRAFI KLASIK
VIGENERE CIPHER DAN ONE TIME PAD";Algoritma dan Struktur Data
"ANALISIS PERBANDINGAN ALGORITMA
BUBBLE SORT, MERGE SORT, DAN QUICK
SORT DALAM PROSES PENGURUTAN
KOMBINASI ANGKA DAN HURUF";Database dan Sistim Retrieval Informasi
"Analisis Komparasi Algoritma Sorting Antara Metode Brute Force dengan
Divide and Conquer";Database dan Sistim Retrieval Informasi
"ANALISIS PERBANDINGAN KINERJA FREENAS DAN
NAS4FREE SEBAGAI SISTEM OPERASI JARINGAN
NETWORK ATTACHED STORAGE (NAS) PADA LOCAL AREA
NETWORK (LAN)";Sistim Operasi dan Jaringan
"Analisis Perbandingan Kinerja Protokol Routing DSDV
dan OLSR Untuk Perubahan Kecepatan Mobilitas pada
Standar IEEE 802.11ah";Sistim Operasi dan Jaringan
Analisis Perbandingan Load Balancing Web Server Tunggal Dengan Web Server Cluster menggunakan Linux Virtual Server;Sistim Operasi dan Jaringan
"Analisis Perbandingan Performasi Protokol Routing
AODV Dan DSR Pada Mobile Ad-Hoc Network
(MANET)";Sistim Operasi dan Jaringan
Analisis performasi protokol zigbee pada jaringan wireless personal area network (WPAN);Sistim Operasi dan Jaringan
ANALISIS PERSEPSI KONSUMEN MENGGUNAKAN METODE IMPORTANCE PERFORMANCE ANALYSIS DAN CUSTOMER SATISFACTION INDEX;Database dan Sistim Retrieval Informasi
ANALISIS POLA PEMBELIAN KONSUMEN PADA TRANSAKSI PENJUALAN MENGGUNAKAN ALGORITMA APRIORI;Artificial Intelligance dan Robotik
Analisis Probabilitas Gempa Dengan Metode Gaussian Dan Besarnya Nilai Peak Ground Acceleration (PGA) Yang Berpengaruh Di Wilayah YOGYAKARTA;Algoritma dan Struktur Data
Analisis proses perkalian matriks paralel menggunakan MPI berbasiskan PC-cluster homegen;Algoritma dan Struktur Data
Analisis Quality of Service pada Jaringan Eoip Tunnel dengan Protokol Routing OSPF dan RIPV2;Sistim Operasi dan Jaringan
Analisis Redistribusi Interior Gateway Protocol dan Eksterior Gateway Protocol;Sistim Operasi dan Jaringan
ANALISIS SENTIMEN TWEET MENGGUNAKAN  BACKPROPAGATION NEURAL NETWORK;Artificial Intelligance dan Robotik
ANALISIS SISTEM KEAMANAN PADA SISTEM OPERASI MICROSOFT WINDOWS, LINUX DAN MACINTOSH;Sistim Operasi dan Jaringan
ANALISIS TEKSTUR PADA CITRA MOTIF BATIK UNTUK KLASIFIKASI MENGGUNAKAN K-NN ;Grafik
ANALISIS TEORI GRAF PADA PERSOALAN KNIGHTÍS TOUR DENGAN J2ME;Database dan Sistim Retrieval Informasi
Paralelisasi Algoritma Uniformization dengan MPI-CUDA;Algoritma dan Struktur Data
"ANALISIS UJI KOMPARASI SISTEM OPERASI PADA
ANDROID DAN BLACKBERRY";Sistim Operasi dan Jaringan
ANALISIS UNJUK KERJA RIPv2 DAN EIGRP DALAM DYNAMIC ROUTING PROTOCOL;Sistim Operasi dan Jaringan
APLIKASI ALGORITMA BELLMAN ? FORD DALAM MEMINIMUMKAN BIAYA OPERASIONAL RUTE PENERBANGAN;Database dan Sistim Retrieval Informasi
APLIKASI ALGORITMA GREEDY PADA PERSOALAN PEWARNAAN GRAF;Database dan Sistim Retrieval Informasi
Aplikasi Deteksi Wajah pada Foto Dijital  dalam Sistem Pengenalan Wajah ;Grafik
APLIKASI ENKRIPSI DATA PADA FILE TEKS DENGAN ALGORITMA RSA (RIVEST SHAMIR ADLEMAN);Algoritma dan Struktur Data
Pembangunan Aplikasi Absensi Memanfaatkan Wifi Dengan Menggunakan Gps Berbasis Android Di Pt. Dinus Cipta Mandiri;Sistim Operasi dan Jaringan
APLIKASI JARINGAN SYARAF TIRUAN SEBAGAI METODE ALTERNATIF PRAKIRAAN BEBAN JANGKA PENDEK;Artificial Intelligance dan Robotik
APLIKASI JARINGAN SYARAF TIRUAN UNTUK MERAMALKAN BEBAN PEMAKAIAN AIR PADA PDAM KOTA BANDUNG;Artificial Intelligance dan Robotik
"APLIKASI KAMUS BAHASA BETAWI BERBASIS ANDROID MENGGUNAKAN
METODE SEQUENCIAL SEARCH
";Database dan Sistim Retrieval Informasi
Aplikasi Kamus Bahasa Daerah Serawai Menggunakan Algoritma Bubble Sort dan Voice Recognition Berbasis Android;Database dan Sistim Retrieval Informasi
Aplikasi Kamus Bahasa Jawa Ngoko, Jawa Krama, dan Indonesia Berbasis Android Dengan Menggunakan Metode Sequential Search;Database dan Sistim Retrieval Informasi
APLIKASI KAMUS BAHASA TALIABU BERBASIS ANDROID DENGAN MENGGUNAKAN METODE BINARY SEARCH;Database dan Sistim Retrieval Informasi
Aplikasi Kamus Istilah Ekonomi (Inggris-Indonesia) Menggunakan Metode Sequential Searching;Database dan Sistim Retrieval Informasi
APLIKASI KAMUS ISTILAH NEUROLOGY BERBASIS MOBILE MENGGUNAKAN METODE SEQUENTIAL SEARCH;Database dan Sistim Retrieval Informasi
"APLIKASI KAMUS NAMA ILMIAH TUMBUHAN
DAN HEWAN BERBASIS ANDROID DENGAN
METODE SEQUENTIAL SEARCHING";Database dan Sistim Retrieval Informasi
APLIKASI KEAMANAN EMAIL MENGGUNAKAN ALGORITMA RC4;Algoritma dan Struktur Data
"APLIKASI KRIPTOGRAFI DENGAN METODE
VERNAM CIPHER DAN METODE PERMUTASI
BINER
";Algoritma dan Struktur Data
APLIKASI KRIPTOGRAFI FILE MENGGUNAKAN ALGORITMA BLOWFISH;Algoritma dan Struktur Data
APLIKASI KRIPTOGRAFI MENGGUNAKAN ALGORITMA RC4 DAN DES UNTUK MENGAMANKAN PESAN EMAIL;Algoritma dan Struktur Data
APLIKASI KRIPTOGRAFI PADA KEAMANAN PESAN EMAIL DENGAN MENGGUNAKAN ALGORITMA ONE TIME PAD;Algoritma dan Struktur Data
APLIKASI MENGAMANKAN EMAIL DENGAN MENGGUNAKAN METODE ALGORITMA KRIPTOGRAFI RC6 PADA PERCETAKAN LIBRADO;Algoritma dan Struktur Data
Aplikasi Metode Filter Bank Gabor pada Identifikasi Citra Wajah dari Individu yang Bergerak dan Tidak Bergerak;Grafik
Estimasi Parameter Model Regresi Linier dengan Pendek atan Bayes(Studi Kasus: Kemisk inan di Provinsi Kalimantan Timur pada Tahun 2017);Artificial Intelligance dan Robotik
APLIKASI PENCARI KATA DALAM DATABASE KAMUS BAHASA KUTAI MENGGUNAKAN METODE BINARY SEARCH;Database dan Sistim Retrieval Informasi
Estimasi Ketersediaan Lahan Pertanian Beras Menggunakan Algoritma Regresi Linear;Artificial Intelligance dan Robotik
APLIKASI PENGAMANAN DOKUMEN OFFICE DENGAN ALGORITMA KRIPTOGRAFI KUNCI ASIMETRIS ELGAMAL;Algoritma dan Struktur Data
Aplikasi Penyedia Server Dengan Model Layanan Cloud Computing Infrastructure As A Service;Algoritma dan Struktur Data
Aplikasi Prediksi Pola Pembelian Customer dengan Metode Market Basket Analysis pada PT. Capella Medan ;Artificial Intelligance dan Robotik
Sistem Pengolahan Data Hasil Pengamatan Tanaman Hidroponik Menggunakan Regresi Linier Untuk Estimasi Berbasis Iot;Artificial Intelligance dan Robotik
APLIKASI SISTEM PAKAR DIAGNOSA PENYAKIT GINJAL DENGAN METODE DEMPSTER-SHAFER;Artificial Intelligance dan Robotik
OPTIMALISASI PENGGUNAAN APLIKASI CLOUD COMPUTING SEBAGAI SARANA PENGELOLAAN KUESIONER BAGI GURU MUHAMMADIYAH TANON;Algoritma dan Struktur Data
Aplikasi Teori Graf dalam Analisa Struktur Protein;Database dan Sistim Retrieval Informasi
APLIKASI VISUALISASI DAN PERBANDINGAN METODE ? METODE PENGURUTAN DATA;Database dan Sistim Retrieval Informasi
Arsitektur Konsolidasi Server dengan Virtualisasi untuk Penyedia Layanan Infrastruktur Cloud;Algoritma dan Struktur Data
Artificial Intelligence (AI) Susun Angka Bentuk Kotak 4 X 4 Menggunakan Pencarian Heuristik Dengan Algoritma Bfs;Artificial Intelligance dan Robotik
"ASOSIASI DATA MINING MENGGUNAKAN ALGORITMA FP-GROWTH UNTUK MARKET BASKET ANALYSIS
";Artificial Intelligance dan Robotik
BASIS DATA TERDISTRIBUSI PADA PENJUALAN HASIL PRODUKSI DI TOKO CLOTHING V-CASTRO;Database dan Sistim Retrieval Informasi
BASIS DATA TERDISTRIBUSI UNTUK DATA INVENTARIS BARANG;Database dan Sistim Retrieval Informasi
"BASIS DATA TERDISTRIBUSI
UNTUK APLIKASI KEPENDUDUKAN BERBASIS WEB";Database dan Sistim Retrieval Informasi
PENGEMBANGAN APLIKASI GUI MATLAB UNTUK MENAKSIR KOEFISIEN PARAMETER MODEL REGRESI NON LINIER MENGGUNAKAN ALGORITMA LEVENBERG MARQUARDT;Artificial Intelligance dan Robotik
CASE BASED REASONING UNTUK MENDETEKSI HAMA DAN PENYAKIT TANAMAN ANGGREK DENDROBIUM MENGGUNAKAN ALGORITMA SIMILARITAS PROBABILISTIC SYMMETRIC;Artificial Intelligance dan Robotik
Convolutional Neural Networks untuk Pengenalan Wajah Secara Real-Time ;Grafik
DESAIN DAN IMPLEMENTASI INTERNET PROTOCOL VERSION 6 (IPv6) DI KELAS UNIT PELAYANAN TEKNIS TEKNOLOGI INFORMASI DAN KOMUNIKASI (UPT TIK) UNIVERSITAS NEGERI JAKARTA;Sistim Operasi dan Jaringan
Data Mining Menggunakan Algoritma Apriori untuk Rekomendasi Produk bagi Pelanggan ;Artificial Intelligance dan Robotik
DESAIN DAN ANALISIS KINERJA VIRTUALISASI SERVER MENGGUNAKAN PROXMOX VIRTUAL ENVIRONTMENT;Sistim Operasi dan Jaringan
DESAIN KRIPTOGRAFI CBC MODIFIKASI PADA PROSES PENGAMANAN PESAN MELALUI EMAIL;Algoritma dan Struktur Data
"Validitas Pengembangan Media Pembelajaran
Blended Learning Berbasis Cloud Computing
Tingkat Sekolah Menengah Atas Kota Padang";Algoritma dan Struktur Data
"jurnal ini masuk dalam ketegor database sstim operasi dan jaringan karena membahas mengenai SQL yang merupakan sebuah bahasa yang digunakan untuk mengakses data dalam basis data relasional. Bahasa ini secara de facto merupakan bahasa standar yang digunakan dalam manajemen basis data relasional. Saat ini hampir semua server basis data yang ada mendukung bahasa ini untuk melakukan manajemen datanya.
";Database dan Sistim Retrieval Informasi
"Desain Sistem Rumah Cerdas berbasis Topologi Mesh dan
Protokol Wireless Sensor Network yang Efisien";Sistim Operasi dan Jaringan
Desain Wide Area Monitoring Pada Sistem Tenaga Listrik Menggunakan Least Square Support Vector Regression ;Artificial Intelligance dan Robotik
Deteksi Batik Bojonegoro Menggunakan Metode Gray Level Co-occurrence Matrix (glcm) Dan Naive Bayes;Grafik
"Deteksi Glaukoma pada Citra Fundus Retina
dengan Metode K-Nearest Neighbor";Grafik
DETEKSI KEMERAHAN PADA KULIT WAJAH DENGAN TEKNIK PENGOLAHAN CITRA;Grafik
"RANCANG BANGUN PERANGKAT SORTASI TOMAT BERDASAR SENSOR
BERAT TIPE STRAIN GAUGE DAN PENGOLAHAN CITRA WARNA";Grafik
"DETEKSI TEPI CITRA DAUN MANGGA MENGGUNAKAN
ALGORITMA ANT COLONY OPTIMIZATION";Grafik
Deteksi Tepi pada Citra Digital  menggunakan Metode Kirsch dan Robinson;Grafik
Implementasi Metode Laplacian of Gaussian Dalam Deteksi Tepi Citra Gigi Berlubang;Grafik
DISTRIBUSI JARINGAN MENGGUNAKAN ROUTING OSPF DENGAN METODE REDISTRIBUTION;Sistim Operasi dan Jaringan
KOMPARASI PERFORMA METODE 6TO4 DAN KOMBINASI L2TP/IPSEC UNTUK IMPLEMENTASI IPV6 PADA JARINGAN KOMPUTER;Sistim Operasi dan Jaringan
EKSPLOITASI RPC PADA SISTEM OPERASI WINDOWS;Sistim Operasi dan Jaringan
EKSTRAKSI CIRI GRAY LEVEL CO-OCCURRENCE MATRIX  DAN PROBABILISTIC NEURAL NETWORK  UNTUK PENGENALAN CACAT PENGELASAN;Grafik
EKSTRASI TEKSTUR CITRA  MENGGUNAKAN LOCAL BINARY PATTERN  UNTUK IDENTIFIKASI PENYAKIT TANAMAN PADI DAN ANTHURIUM BERBASIS WEBSITE ;Grafik
"Ektraksi Fitur Citra Paru-Paru Menggunakan Gray Level Co-ocurance
Matriks";Grafik
ENERAPAN GEOMETRIC MEAN FILTER UNTUK MEREDUKSI NOISE SPECKLE DAN SALT AND PEPPER PADA CITRA ORTOKROMATIK;Grafik
"Analisis Dan Perbandingan Metode Sobel Edge Detection Dan Prewit
Pada Deteksi Tepi Citra Daun Srilangka
";Grafik
Evaluasi Penggunaan Animasi dengan Blender pada Materi Komputasi Paralel;Algoritma dan Struktur Data
Failover Gateway Menggunakan Protokol Virtual Router Redundancy Protocol (VRRP) pada Mikrotik Router;Sistim Operasi dan Jaringan
FUNGSI HASH BERBASIS TEORI GRAF: SEBUAH SURVEI;Database dan Sistim Retrieval Informasi
FUZZY MULTIPLE ATTRIBUTE DECISION MACKING (FMADM) BERDASARKAN METODE ORESTE UNTUK MENENTUKAN LOKASI PROMOSI (STUDI KASUS: STMIK BUDI DARMA MEDAN);Artificial Intelligance dan Robotik
GABUNGAN ALGORITMA VERNAM CHIPER DAN END OF FILE UNTUK KEAMANAN DATA;Algoritma dan Struktur Data
Implementasi Komputasi Paralel Dengan Compute Unified Device Architecture (CUDA) Untuk Perhitungan Simple Linear Regression;Algoritma dan Struktur Data
HASIL PENGENALAN CITRA WAJAH DITINJAU DARI JARAK PIKSEL PADA GRAY LEVEL COOCCURRENCE MATRIX DAN PROBABILISTIC NEURAL NETWORK;Grafik
IDENTIFIKASI BIBIT PADA TANAMAN LAHAN GAMBUT BERDASARKAN BENTUK DAUN MENGGUNAKAN METODE PROBABILISTIK NEURAL NETWORK (PNN) BERBASIS WEBSITE (UMUR BIBIT 2 BULAN-1 TAHUN) ;Grafik
Identifikasi Citra Daun Menggunakan Morfologi, Local Binary Patterns dan Convex Hulls ;Grafik
IDENTIFIKASI DAGING SAPI DAN DAGING BABI MENGGUNAKAN  FITUR EKSTRAKSI GREY LEVEL CO-OCCURRENCE MATRIX   DAN K-NEAREST NEIGHBOR CLASSIFIER ;Grafik
IDENTIFIKASI FASE PENYEMBUHAN LUKA BERBASIS CITRA ;Grafik
Identifikasi Gejala Penyakit Padi Menggunakan Operasi Morfologi Citra;Grafik
IDENTIFIKASI HAMA TANAMAN CABAI DENGAN MEMBANDINGKAN PRINCIPAL COMPONENT ANALYSIS DAN GRAY LEVEL CO-OCCURRENCE MATRIX SEBAGAI EKSTRAKSI CIRI ;Grafik
IDENTIFIKASI JENIS KAYU BERBASIS CITRA MENGGUNAKAN PROBABILISTIC NEURAL NETWORK (PNN) ;Grafik
IDENTIFIKASI MACAN TUTUL DENGAN METODE GREY LEVEL COOCURENT MATRIX ( GLCM) ;Grafik
Identifikasi Penyakit Cabai Berdasarkan Gejala Bercak Daun dan Penampakan Conidia Menggunakan Probabilistic Neural Network ;Grafik
IDENTIFIKASI PENYAKIT PADA TANAMAN TOMAT BERDASARKAN WARNA DAN BENTUK DAUN DENGAN METODE NAIVE BAYES CLASSIFIER BERBASIS WEB;Grafik
Identifikasi Tanaman Kamboja menggunakan Ekstraksi Ciri Citra Daun dan Jaringan Syaraf Tiruan;Grafik
Identifikasi Tumbuhan Obat Herbal Berdasarkan Citra Daun Menggunakan Algoritma Gray Level Co-occurence Matrix dan K-Nearest Neighbor;Grafik
IDENTIFIKASI VARIETAS BERDASARKAN WARNA DAN TEKSTUR PERMUKAAN BERAS MENGGUNAKAN PENGOLAHAN CITRA DIGITAL DAN JARINGAN SYARAF TIRUAN;Grafik
Image Processing dan Artifical Neural Network Untuk Mengenali Nomor Induk Kependudukan Pada KTP Sebagai Pendukung Layanan Mandiri di Kantor Desa;Grafik
IMPELEMTASI METODE TRANSFORMASI TOP-HAD DAN BOTTOM HAD UNTUK PENINGKATAN KUALITAS CITRA CT SCAN;Grafik
Implementasi  Learning Vektor Quantization (LVQ) dalam Mengidentifikasi Citra Daging Babi dan Daging Sapi ;Grafik
Implementasi Algoritma Apriori dan FP-Growth Untuk Menentukan Persediaan Barang;Artificial Intelligance dan Robotik
IMPLEMENTASI ALGORITMA APRIORI PADA SISTEM PERSEDIAAN BUAH-BUAHAN (STUDI KASUS : LOTTE MART WHOLESALE MEDAN);Artificial Intelligance dan Robotik
Implementasi Algoritma Base64 untuk Mengamakan SMS pada Smartphone;Algoritma dan Struktur Data
IMPLEMENTASI ALGORITMA BUBBLE SORT DAN SELECTION SORT MENGGUNAKAN ARRAYLIST MULTIDIMENSI PADA PENGURUTAN DATA MULTI PRIORITAS;Database dan Sistim Retrieval Informasi
"IMPLEMENTASI ALGORITMA CAESAR CIPHER DAN HILL
CIPHER PADA DATABASE SISTEM INVENTORI TB MITA JEPAR";Algoritma dan Struktur Data
IMPLEMENTASI ALGORITMA CANNY DAN BACKPROPAGATION UNTUK MENGKLASIFIKASI JENIS TANAMAN MANGGA;Grafik
Implementasi Algoritma ECDH dan AES untuk Pengamanan Pesan SMS pada Telepon Seluler;Algoritma dan Struktur Data
IMPLEMENTASI ALGORITMA FP-GROWTH MENGGUNAKAN ASSOCIATION RULE PADA MARKET BASKET ANALYSIS ;Artificial Intelligance dan Robotik
"Perbandingan Route Redistribute Protokol Routing Dinamik Pada IPv6 ( Studi Kasus :
EIGRP untuk IPv6 dengan OSPFv3 dan EIGRP dengan ISIS pada IPv6)";Sistim Operasi dan Jaringan
IMPLEMENTASI ALGORITMA GALIL SEIFERAS PADA APLIKASI LYRIC SEARCH BERBASIS ANDROID;Database dan Sistim Retrieval Informasi
IMPLEMENTASI ALGORITMA GENERATE AND TEST PADA PENCARIAN RUTE TERPENDEK;Database dan Sistim Retrieval Informasi
